"Login","Најавете се"
"Register","Регистрирајте се"
"Odberete paket i pretplatete se vednas","Одберете пакет и претплатете се веднаш"
"Avtomobili","Автомобили"
"Dom i gradina","Дом и градина"
"Nedviznini","Недвижнини"
"Zdravje i ubavina","Здравје и убавина"
"Pravo i finansii","Право и финансии"
"Hrana","Храна"
"Obrazovanie","Oбразование"
"Zabava i umetnost","Забава и уметност"
"Profesionalni uslugi","Професионални услуги"
"Rekreacija","Рекреација"
"Maloprodazba","Малопродажба"
"Patuvajna i smestuvajne","Патувања и сместување"
"Promovirani biznisi","Промовирани бизниси"
"Search","Пребарувајте"
"All Departments","Maкедонија"
"denari","денари"
"Pretplatete se vednash","Претплатете се веднаш"
"Information","Информации"
"Working hours","Работно време"
"monday","понеделник"
"tuesday","вторник"
"wednesday","среда"
"thursday","четврток"
"friday","петок"
"saturday","сабота"
"sunday","недела"
"About us","За нас"
"Map","Мапа"
